article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
94,10.1037/pspp0000332,doi.org/10.1037/pspp0000332,Study 2,https://osf.io/wfb64;https://osf.io/zgwuf;https://osf.io/pmex8;https://osf.io/6wpa8,Journal of Personality and Social Psychology
14,10.1037/emo0001513,doi.org/10.1037/emo0001513,Study 6,https://osf.io/efptk,Emotion
89,10.1037/pspp0000341,doi.org/10.1037/pspp0000341,Phase 6,https://osf.io/cseyx,Journal of Personality and Social Psychology
43,10.1037/xhp0001191,doi.org/10.1037/xhp0001191,Experiment 2,https://osf.io/9DKGQ,Journal of Experimental Psychology: Human Perception and Performance
5,10.1037/emo0001301,doi.org/10.1037/emo0001301,Study 2,https://osf.io/ygqfd,Emotion
19,10.1037/emo0001311,doi.org/10.1037/emo0001311,NA,https://osf.io/vym9g,Emotion
77,10.1037/xlm0001141,doi.org/10.1037/xlm0001141,Experiment 1,https://osf.io/3s46f,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
54,10.1037/xhp0001130,doi.org/10.1037/xhp0001130,Experiment 1,https://osf.io/NAFE2,Journal of Experimental Psychology: Human Perception and Performance
71,10.1037/xlm0001270,doi.org/10.1037/xlm0001270,Experiment 3,https://osf.io/cmf3s,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
99,10.1037/pspi0000470,doi.org/10.1037/pspi0000470,Experiment 3,https://osf.io/zj7d9,Journal of Personality and Social Psychology
1,10.1037/emo0001252,doi.org/10.1037/emo0001252,Study 1,https://osf.io/c2xzd,Emotion
4,10.1037/emo0001330,doi.org/10.1037/emo0001330,Study 1,https://osf.io/n36cu,Emotion
74,10.1037/xlm0001191,doi.org/10.1037/xlm0001191,Experiment 4,https://osf.io/aqfg3,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
10,10.1037/emo0001368,doi.org/10.1037/emo0001368,Study 3,https://osf.io/bv3k4,Emotion
50,10.1037/xhp0001211,doi.org/10.1037/xhp0001211,Experiment 1,https://osf.io/vfnax,Journal of Experimental Psychology: Human Perception and Performance
58,10.1037/xhp0001288,doi.org/10.1037/xhp0001288,Experiment 2,https://osf.io/Y35HD,Journal of Experimental Psychology: Human Perception and Performance
81,10.1037/pspi0000458,doi.org/10.1037/pspi0000458,Study 6,https://osf.io/ghkc8,Journal of Personality and Social Psychology
33,10.1037/xge0001614,doi.org/10.1037/xge0001614,Study 3,https://osf.io/ctzks,Journal of Experimental Psychology: General
8,10.1037/emo0001357,doi.org/10.1037/emo0001357,Study 3,https://osf.io/sx82e;https://osf.io/ypg9v,Emotion
9,10.1037/emo0001161,doi.org/10.1037/emo0001161,Study 2,https://osf.io/3q68t,Emotion
59,10.1037/xhp0000927,doi.org/10.1037/xhp0000927,NA,https://osf.io/hjm3z,Journal of Experimental Psychology: Human Perception and Performance
47,10.1037/xhp0001219,doi.org/10.1037/xhp0001219,Experiment 2,https://osf.io/a5ze7,Journal of Experimental Psychology: Human Perception and Performance
34,10.1037/xge0001627,doi.org/10.1037/xge0001627,Experiment 3,https://osf.io/7bjre,Journal of Experimental Psychology: General
72,10.1037/xlm0001148,doi.org/10.1037/xlm0001148,Experiment 2,https://osf.io/x9n36,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
86,10.1037/pspi0000327,doi.org/10.1037/pspi0000327,Study 5,https://osf.io/qtr94,Journal of Personality and Social Psychology
98,10.1037/pspa0000404,doi.org/10.1037/pspa0000404,Study 6,https://osf.io/8bves,Journal of Personality and Social Psychology
49,10.1037/xhp0001183,doi.org/10.1037/xhp0001183,Experiment 1,https://osf.io/wrqcz,Journal of Experimental Psychology: Human Perception and Performance
62,10.1037/xlm0001042,doi.org/10.1037/xlm0001042,Experiment 3,https://osf.io/hjnk5,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
45,10.1037/xhp0001200,doi.org/10.1037/xhp0001200,Experiment 2,https://osf.io/9hvgd,Journal of Experimental Psychology: Human Perception and Performance
27,10.1037/xge0001120,doi.org/10.1037/xge0001120,Study 4,https://osf.io/ku6fq,Journal of Experimental Psychology: General
80,10.1037/xlm0001128,doi.org/10.1037/xlm0001128,Experiment 2,https://osf.io/zm7cy,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
88,10.1037/pspi0000411,doi.org/10.1037/pspi0000411,Study 2,https://osf.io/jbknq,Journal of Personality and Social Psychology
30,10.1037/xge0001112,doi.org/10.1037/xge0001112,NA,https://osf.io/utche,Journal of Experimental Psychology: General
57,10.1037/xhp0001103,doi.org/10.1037/xhp0001103,Experiment 2,https://osf.io/wx8f3,Journal of Experimental Psychology: Human Perception and Performance
75,10.1037/xlm0001134,doi.org/10.1037/xlm0001134,Experiment 1,https://osf.io/5up4f,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
73,10.1037/xlm0001224,doi.org/10.1037/xlm0001224,Experiment 1,https://osf.io/j3wqb,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
82,10.1037/pspi0000364,doi.org/10.1037/pspi0000364,Study 3,https://osf.io/p3r8n,Journal of Personality and Social Psychology
55,10.1037/xhp0001162,doi.org/10.1037/xhp0001162,Experiment 2,https://osf.io/6WNE2,Journal of Experimental Psychology: Human Perception and Performance
32,10.1037/xge0000853,doi.org/10.1037/xge0000853,Study 3,https://osf.io/x24kj;https://osf.io/f6sp9;https://osf.io/m79a2,Journal of Experimental Psychology: General
53,10.1037/xhp0001259,doi.org/10.1037/xhp0001259,Experiment 4,https://osf.io/7qtvn,Journal of Experimental Psychology: Human Perception and Performance
