article_number,DOI,doi_link,study_number,all_registration_urls,journal_title,completed
71,10.1037/xlm0001270,doi.org/10.1037/xlm0001270,Experiment 3,https://osf.io/cmf3s,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
22,10.1037/xge0001206,doi.org/10.1037/xge0001206,Study 7,https://osf.io/gycj3;https://osf.io/85k7q,Journal of Experimental Psychology: General,Not coded
87,10.1037/pspa0000368,doi.org/10.1037/pspa0000368,Study 2,https://osf.io/fus72,Journal of Personality and Social Psychology,Not coded
69,10.1037/xlm0001244,doi.org/10.1037/xlm0001244,Experiment 2,https://osf.io/38ady,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
48,10.1037/xhp0001112,doi.org/10.1037/xhp0001112,Experiment 1,https://osf.io/stfn5,Journal of Experimental Psychology: Human Perception and Performance,Coded
25,10.1037/xge0001295,doi.org/10.1037/xge0001295,Experiment 2B,https://osf.io/hezkm,Journal of Experimental Psychology: General,Not coded
17,10.1037/emo0001394,doi.org/10.1037/emo0001394,Study 1,https://osf.io/G7BVJ,Emotion,Not coded
66,10.1037/xlm0001354,doi.org/10.1037/xlm0001354,Experiment 1,https://osf.io/twy6c,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
29,10.1037/xge0001280,doi.org/10.1037/xge0001280,NA,https://osf.io/43xfe;https://osf.io/mcdpu,Journal of Experimental Psychology: General,Not coded
55,10.1037/xhp0001162,doi.org/10.1037/xhp0001162,Experiment 2,https://osf.io/6WNE2,Journal of Experimental Psychology: Human Perception and Performance,Coded
31,10.1037/xge0001688,doi.org/10.1037/xge0001688,NA,https://osf.io/q5ne8,Journal of Experimental Psychology: General,Coded
26,10.1037/xge0001570,doi.org/10.1037/xge0001570,Experiment 1,https://osf.io/2dmtw,Journal of Experimental Psychology: General,Not coded
18,10.1037/emo0001448,doi.org/10.1037/emo0001448,NA,https://osf.io/t6jcv,Emotion,Coded
37,10.1037/xge0001031,doi.org/10.1037/xge0001031,Experiment 1,https://osf.io/v734e,Journal of Experimental Psychology: General,Coded
88,10.1037/pspi0000411,doi.org/10.1037/pspi0000411,Study 2,https://osf.io/jbknq,Journal of Personality and Social Psychology,Not coded
91,10.1037/pspa0000413,doi.org/10.1037/pspa0000413,Study 1,https://osf.io/ewjty,Journal of Personality and Social Psychology,Coded
83,10.1037/pspp0000375,doi.org/10.1037/pspp0000375,Study 1b,https://osf.io/wqyuf,Journal of Personality and Social Psychology,Coded
3,10.1037/emo0001132,doi.org/10.1037/emo0001132,NA,https://osf.io/csvbe,Emotion,Not coded
2,10.1037/emo0001434,doi.org/10.1037/emo0001434,NA,https://osf.io/fk6yu,Emotion,Coded
64,10.1037/xlm0001363,doi.org/10.1037/xlm0001363,NA,https://osf.io/a3u54,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
11,10.1037/emo0000982,doi.org/10.1037/emo0000982,NA,https://osf.io/tb4qv,Emotion,Not coded
96,10.1037/pspa0000416,doi.org/10.1037/pspa0000416,Study 5,https://osf.io/pdnyx,Journal of Personality and Social Psychology,Not coded
97,10.1037/pspp0000393,doi.org/10.1037/pspp0000393,Study 1,https://osf.io/bukpw,Journal of Personality and Social Psychology,Coded
61,10.1037/xlm0000907,doi.org/10.1037/xlm0000907,Experiment 1,https://osf.io/zj3a6,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
104,10.1037/pspi0000325,doi.org/10.1037/pspi0000325,Study 3,https://osf.io/kajz6,Journal of Personality and Social Psychology,Not coded
24,10.1037/xge0001459,doi.org/10.1037/xge0001459,Experiment 1,https://osf.io/q86cj,Journal of Experimental Psychology: General,Coded
62,10.1037/xlm0001042,doi.org/10.1037/xlm0001042,Experiment 3,https://osf.io/hjnk5,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Coded
36,10.1037/xge0001488,doi.org/10.1037/xge0001488,Experiment 1,https://osf.io/4my93;https://osf.io/5dyhf;https://osf.io/q4h3r;https://osf.io/83npu;https://osf.io/4skzc,Journal of Experimental Psychology: General,Coded
109,10.1037/emo0001379,doi.org/10.1037/emo0001379,NA,https://osf.io/8qhjt,Emotion,Not coded
