article_number,DOI,doi_link,study_number,all_registration_urls,journal_title,completed
3,10.1037/emo0001132,doi.org/10.1037/emo0001132,NA,https://osf.io/csvbe,Emotion,Not coded
14,10.1037/emo0001513,doi.org/10.1037/emo0001513,Study 6,https://osf.io/efptk,Emotion,Not coded
70,10.1037/xlm0001349,doi.org/10.1037/xlm0001349,Experiment 2,https://osf.io/8ru6z,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
90,10.1037/pspa0000386,doi.org/10.1037/pspa0000386,Experiment 4,https://osf.io/zbmun,Journal of Personality and Social Psychology,Not coded
75,10.1037/xlm0001134,doi.org/10.1037/xlm0001134,Experiment 1,https://osf.io/5up4f,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
50,10.1037/xhp0001211,doi.org/10.1037/xhp0001211,Experiment 1,https://osf.io/vfnax,Journal of Experimental Psychology: Human Perception and Performance,Not coded
6,10.1037/emo0001268,doi.org/10.1037/emo0001268,NA,https://osf.io/rzdv5,Emotion,Not coded
10,10.1037/emo0001368,doi.org/10.1037/emo0001368,Study 3,https://osf.io/bv3k4,Emotion,Not coded
92,10.1037/pspa0000423,doi.org/10.1037/pspa0000423,Experiment 2,https://osf.io/tmkvd,Journal of Personality and Social Psychology,Not coded
57,10.1037/xhp0001103,doi.org/10.1037/xhp0001103,Experiment 2,https://osf.io/wx8f3,Journal of Experimental Psychology: Human Perception and Performance,Not coded
53,10.1037/xhp0001259,doi.org/10.1037/xhp0001259,Experiment 4,https://osf.io/7qtvn,Journal of Experimental Psychology: Human Perception and Performance,Not coded
102,10.1037/pspp0000511,doi.org/10.1037/pspp0000511,NA,https://osf.io/5dha3,Journal of Personality and Social Psychology,Not coded
35,10.1037/xge0001527,doi.org/10.1037/xge0001527,Study 2,https://osf.io/wqfkh,Journal of Experimental Psychology: General,Not coded
20,10.1037/emo0001429,doi.org/10.1037/emo0001429,Study 2,https://osf.io/ndkzv,Emotion,Not coded
58,10.1037/xhp0001288,doi.org/10.1037/xhp0001288,Experiment 2,https://osf.io/Y35HD,Journal of Experimental Psychology: Human Perception and Performance,Not coded
97,10.1037/pspp0000393,doi.org/10.1037/pspp0000393,Study 1,https://osf.io/bukpw,Journal of Personality and Social Psychology,Not coded
56,10.1037/xhp0000798,doi.org/10.1037/xhp0000798,Experiment 2,https://osf.io/nky52,Journal of Experimental Psychology: Human Perception and Performance,Not coded
41,10.1037/xhp0001234,doi.org/10.1037/xhp0001234,Experiment 4,https://osf.io/4gtkn,Journal of Experimental Psychology: Human Perception and Performance,Not coded
101,10.1037/pspa0000309,doi.org/10.1037/pspa0000309,Study 5,https://osf.io/e85xt,Journal of Personality and Social Psychology,Not coded
4,10.1037/emo0001330,doi.org/10.1037/emo0001330,Study 1,https://osf.io/n36cu,Emotion,Not coded
45,10.1037/xhp0001200,doi.org/10.1037/xhp0001200,Experiment 2,https://osf.io/9hvgd,Journal of Experimental Psychology: Human Perception and Performance,Not coded
87,10.1037/pspa0000368,doi.org/10.1037/pspa0000368,Study 2,https://osf.io/fus72,Journal of Personality and Social Psychology,Not coded
1,10.1037/emo0001252,doi.org/10.1037/emo0001252,Study 1,https://osf.io/c2xzd,Emotion,Not coded
110,10.1037/emo0001399,doi.org/10.1037/emo0001399,Study 2,https://osf.io/awvs6,Emotion,Not coded
54,10.1037/xhp0001130,doi.org/10.1037/xhp0001130,Experiment 1,https://osf.io/NAFE2,Journal of Experimental Psychology: Human Perception and Performance,Not coded
82,10.1037/pspi0000364,doi.org/10.1037/pspi0000364,Study 3,https://osf.io/p3r8n,Journal of Personality and Social Psychology,Not coded
48,10.1037/xhp0001112,doi.org/10.1037/xhp0001112,Experiment 1,https://osf.io/stfn5,Journal of Experimental Psychology: Human Perception and Performance,Not coded
73,10.1037/xlm0001224,doi.org/10.1037/xlm0001224,Experiment 1,https://osf.io/j3wqb,"Journal of Experimental Psychology: Learning, Memory, and Cognition",Not coded
